,Id,LotArea,Street,Neighborhood,HouseStyle,YearBuilt,CentralAir,BedroomAbvGr,Fireplaces,GarageType,GarageYrBlt,GarageArea,PoolArea,PoolQC,Fence,SalePrice
0,1,8450,Pave,CollgCr,2Story,2003,Y,3,0,Attchd,2003.0,548,0,,,208500
1,2,9600,Pave,Veenker,1Story,1976,Y,3,1,Attchd,1976.0,460,0,,,181500
2,3,11250,Pave,CollgCr,2Story,2001,Y,3,1,Attchd,2001.0,608,0,,,223500
3,4,9550,Pave,Crawfor,2Story,1915,Y,3,1,Detchd,1998.0,642,0,,,140000
4,5,14260,Pave,NoRidge,2Story,2000,Y,4,1,Attchd,2000.0,836,0,,,250000
5,6,14115,Pave,Mitchel,1.5Fin,1993,Y,1,0,Attchd,1993.0,480,0,,MnPrv,143000
6,7,10084,Pave,Somerst,1Story,2004,Y,3,1,Attchd,2004.0,636,0,,,307000
7,8,10382,Pave,NWAmes,2Story,1973,Y,3,2,Attchd,1973.0,484,0,,,200000
8,9,6120,Pave,OldTown,1.5Fin,1931,Y,2,2,Detchd,1931.0,468,0,,,129900
9,10,7420,Pave,BrkSide,1.5Unf,1939,Y,2,2,Attchd,1939.0,205,0,,,118000
10,11,11200,Pave,Sawyer,1Story,1965,Y,3,0,Detchd,1965.0,384,0,,,129500
11,12,11924,Pave,NridgHt,2Story,2005,Y,4,2,BuiltIn,2005.0,736,0,,,345000
12,13,12968,Pave,Sawyer,1Story,1962,Y,2,0,Detchd,1962.0,352,0,,,144000
13,14,10652,Pave,CollgCr,1Story,2006,Y,3,1,Attchd,2006.0,840,0,,,279500
14,15,10920,Pave,NAmes,1Story,1960,Y,2,1,Attchd,1960.0,352,0,,GdWo,157000
15,16,6120,Pave,BrkSide,1.5Unf,1929,Y,2,0,Detchd,1991.0,576,0,,GdPrv,132000
16,17,11241,Pave,NAmes,1Story,1970,Y,2,1,Attchd,1970.0,480,0,,,149000
17,18,10791,Pave,Sawyer,1Story,1967,Y,2,0,CarPort,1967.0,516,0,,,90000
18,19,13695,Pave,SawyerW,1Story,2004,Y,3,0,Detchd,2004.0,576,0,,,159000
19,20,7560,Pave,NAmes,1Story,1958,Y,3,0,Attchd,1958.0,294,0,,MnPrv,139000
20,21,14215,Pave,NridgHt,2Story,2005,Y,4,1,BuiltIn,2005.0,853,0,,,325300
21,22,7449,Pave,IDOTRR,1.5Unf,1930,Y,3,1,Attchd,1930.0,280,0,,GdPrv,139400
22,23,9742,Pave,CollgCr,1Story,2002,Y,3,1,Attchd,2002.0,534,0,,,230000
23,24,4224,Pave,MeadowV,1Story,1976,Y,3,1,Attchd,1976.0,572,0,,,129900
24,25,8246,Pave,Sawyer,1Story,1968,Y,3,1,Attchd,1968.0,270,0,,MnPrv,154000
25,26,14230,Pave,NridgHt,1Story,2007,Y,3,1,Attchd,2007.0,890,0,,,256300
26,27,7200,Pave,NAmes,1Story,1951,Y,3,0,Detchd,2005.0,576,0,,,134800
27,28,11478,Pave,NridgHt,1Story,2007,Y,3,1,Attchd,2008.0,772,0,,,306000
28,29,16321,Pave,NAmes,1Story,1957,Y,2,2,Attchd,1957.0,319,0,,,207500
29,30,6324,Pave,BrkSide,1Story,1927,N,1,0,Detchd,1920.0,240,0,,,68500
30,31,8500,Pave,IDOTRR,2Story,1920,N,3,0,Detchd,1920.0,250,0,,MnPrv,40000
31,32,8544,Pave,Sawyer,1Story,1966,Y,3,0,Attchd,1966.0,271,0,,MnPrv,149350
32,33,11049,Pave,CollgCr,1Story,2007,Y,3,0,Attchd,2007.0,484,0,,,179900
33,34,10552,Pave,NAmes,1Story,1959,Y,4,1,Attchd,1959.0,447,0,,,165500
34,35,7313,Pave,NridgHt,1Story,2005,Y,2,1,Attchd,2005.0,556,0,,,277500
35,36,13418,Pave,NridgHt,2Story,2004,Y,4,1,BuiltIn,2004.0,691,0,,,309000
36,37,10859,Pave,CollgCr,1Story,1994,Y,3,0,Attchd,1995.0,672,0,,,145000
37,38,8532,Pave,NAmes,1Story,1954,Y,3,1,Attchd,1954.0,498,0,,,153000
38,39,7922,Pave,NAmes,1Story,1953,Y,3,0,Detchd,1953.0,246,0,,,109000
